num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
20,0,0,16000,16000,16000,16000,16000,16000,112.86348811636249,112.86348811636249,16000,16000,16000,16000,16000,False,1,141fd_00000,2025-01-24_03-53-51,1737687231,141.77118134498596,141.77118134498596,22876,PC-153,10.10.20.73,141.77118134498596,1,16000,16000,16000,16000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,141764.181,0.0,141764.181,32484.14,40.003,399971.773,109203.035,146.516,34.0,16000,16000,16000,16000,35.034693877551014,49.99183673469387,[],[],1000.5,999.5,0.10000000000000002,0.00010000000000000003,16.713681565836072,0.2934813257580761,14.210346469981596,-0.13676488444209098,24.386149045467377,22.876119495868682,0.01
20,0,0,32000,32000,32000,32000,16000,16000,130.70418743943594,130.70418743943594,32000,32000,32000,16000,32000,False,2,141fd_00000,2025-01-24_03-55-59,1737687359,122.42082834243774,264.1920096874237,22876,PC-153,10.10.20.73,264.1920096874237,2,32000,32000,32000,32000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,132089.005,0.0,132089.005,31491.726,51.727,309315.167,100509.588,159.189,32.963,32000,32000,32000,32000,35.5747191011236,50.77134831460675,[],[],3000.5,999.5,0.14999999999999994,0.00010000000000000003,19.49954328250885,0.06979819683230017,19.639506987571718,0.0007792913615703583,0.18968939907476307,23.821528383255004,0.01
20,0,0,48000,48000,48000,48000,16000,16000,126.38395004311751,126.38395004311751,48000,48000,48000,16000,48000,False,3,141fd_00000,2025-01-24_03-58-06,1737687486,126.60435390472412,390.7963635921478,22876,PC-153,10.10.20.73,390.7963635921478,3,48000,48000,48000,48000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,130258.788,0.0,130258.788,30222.429,56.321,284084.737,99944.557,160.089,32.478,48000,48000,48000,48000,35.80344827586207,50.96149425287356,[],[],5000.5,999.5,0.22500000000000006,0.00010000000000000003,19.309237537384032,0.03311543580237776,19.497409781455993,0.0014520584642887116,0.07374355856515467,23.78799478816986,0.01
20,0,0,64000,64000,64000,64000,16000,16000,162.1902405495511,162.1902405495511,64000,64000,64000,16000,64000,False,4,141fd_00000,2025-01-24_03-59-45,1737687585,98.66628742218018,489.462651014328,22876,PC-153,10.10.20.73,489.462651014328,4,64000,64000,64000,64000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,122356.487,0.0,122356.487,28749.098,43.241,370015.419,93529.286,171.069,32.109,64000,64000,64000,64000,39.280434782608694,49.168115942028976,[],[],7000.5,999.5,0.3375000000000001,0.00010000000000000003,18.98645200586319,0.02285978360613808,19.18384301710129,0.00015955290198326112,0.04933826639316976,23.690247188568115,0.01
20,0,0,80000,80000,80000,80000,16000,16000,145.736588520861,145.736588520861,80000,80000,80000,16000,80000,False,5,141fd_00000,2025-01-24_04-01-35,1737687695,109.79411697387695,599.256767988205,22876,PC-153,10.10.20.73,599.256767988205,5,80000,80000,80000,80000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,119842.613,0.0,119842.613,27951.853,45.463,351934.988,91807.306,174.278,35.39,80000,80000,80000,80000,35.64052287581699,48.19084967320261,[],[],9000.5,999.5,0.5062499999999999,0.00010000000000000003,19.399296794891356,0.01731911134161055,19.597434255599975,-7.270386815071105e-05,0.04127311227656901,23.635111062049866,0.01
20,0,0,96000,96000,96000,96000,16000,16000,149.92822748799554,149.92822748799554,96000,96000,96000,16000,96000,False,6,141fd_00000,2025-01-24_04-03-21,1737687801,106.72372841835022,705.9804964065552,22876,PC-153,10.10.20.73,705.9804964065552,6,96000,96000,96000,96000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,117655.133,0.0,117655.133,27383.643,41.035,389915.049,90193.462,177.396,34.325,96000,96000,96000,96000,35.63825503355705,48.308724832214764,[],[],11000.5,999.5,0.7593750000000002,0.00010000000000000003,19.012173593997954,0.012682000948581844,19.210017681598664,-0.013518809527158736,0.035412353889085355,23.741728090286255,0.01
20,0,0,112000,112000,112000,112000,16000,16000,152.29494173233283,152.29494173233283,112000,112000,112000,16000,112000,False,7,141fd_00000,2025-01-24_04-05-06,1737687906,105.06629920005798,811.0467956066132,22876,PC-153,10.10.20.73,811.0467956066132,7,112000,112000,112000,112000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,115855.728,0.0,115855.728,27463.498,39.03,409944.575,88316.191,181.167,34.436,112000,112000,112000,112000,39.31496598639456,48.96530612244898,[],[],13000.5,999.5,1.1390624999999999,0.00010000000000000003,19.34456780910492,0.010463633442297577,19.536090551376343,-0.022545876115560533,0.03289950139913708,23.946093137741087,0.01
20,0,0,128000,128000,128000,128000,16000,16000,162.37432631993332,162.37432631993332,128000,128000,128000,16000,128000,False,8,141fd_00000,2025-01-24_04-06-45,1737688005,98.54374432563782,909.590539932251,22876,PC-153,10.10.20.73,909.590539932251,8,128000,128000,128000,128000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,113690.98,0.0,113690.98,27352.679,37.583,425727.846,86263.085,185.479,35.132,128000,128000,128000,128000,41.161313868613135,49.618978102189786,[],[],15000.5,999.5,1.7085937499999995,0.00010000000000000003,19.003653840065002,0.007964009248651564,19.18971445465088,-0.05623281508684158,0.026223286498803646,23.88295390892029,0.01
20,0,0,144000,144000,144000,144000,16000,16000,160.62553866175202,160.62553866175202,144000,144000,144000,16000,144000,False,9,141fd_00000,2025-01-24_04-08-25,1737688105,99.61756014823914,1009.2081000804901,22876,PC-153,10.10.20.73,1009.2081000804901,9,144000,144000,144000,144000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,112126.489,0.0,112126.489,27068.043,35.734,447753.615,84985.371,188.268,35.006,144000,144000,144000,144000,36.788489208633095,49.002877697841726,[],[],17000.5,999.5,2.562890625000001,0.00010000000000000003,19.033609727859496,0.005138901783619076,19.211156085968017,-0.07094102749228477,0.021215593296103178,23.7058472700119,0.01
20,0,0,160000,160000,160000,160000,16000,16000,159.3691362249405,159.3691362249405,160000,160000,160000,16000,160000,False,10,141fd_00000,2025-01-24_04-10-05,1737688205,100.40284991264343,1109.6109499931335,22876,PC-153,10.10.20.73,1109.6109499931335,10,160000,160000,160000,160000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,110953.425,0.0,110953.425,26766.244,34.461,464299.105,84115.714,190.214,34.705,160000,160000,160000,160000,36.114285714285714,48.68714285714285,[],[],19000.5,999.5,3.844335937499999,0.00010000000000000003,19.000519528388978,0.0031606774916872384,19.17510826206207,-0.1648959054648876,0.014846913761924952,23.4825908203125,0.01
